city,name,stars,price_per_night,area,rating
Đà Nẵng,Mường Thanh Luxury,5,1800000,Mỹ Khê,4.5
Đà Nẵng,Sala Danang Beach,4,1200000,Mỹ Khê,4.3
Đà Nẵng,Fivitel Danang,3,650000,Sơn Trà,4.1
Đà Nẵng,Memory Hostel,2,250000,Hải Châu,4.6
Đà Nẵng,Christina's Homestay,2,350000,An Thượng,4.7
Phú Quốc,Vinpearl Resort,5,3500000,Bãi Dài,4.4
Phú Quốc,Sol by Meliá,4,1500000,Bãi Trường,4.2
Phú Quốc,Lahana Resort,3,800000,Dương Đông,4.0
Phú Quốc,9Station Hostel,2,200000,Dương Đông,4.5
Hồ Chí Minh,Rex Hotel,5,2800000,Quận 1,4.3
Hồ Chí Minh,Liberty Central,4,1400000,Quận 1,4.1
Hồ Chí Minh,Cochin Zen Hotel,3,550000,Quận 3,4.4
Hồ Chí Minh,The Common Room,2,180000,Quận 1,4.6
